Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
OneWeb-0426	OneWeb-0426	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0427	OneWeb-0427	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0428	OneWeb-0428	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0429	OneWeb-0429	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0430	OneWeb-0430	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0431	OneWeb-0431	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0432	OneWeb-0432	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0434	OneWeb-0434	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0435	OneWeb-0435	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0436	OneWeb-0436	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0438	OneWeb-0438	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0439	OneWeb-0439	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0440	OneWeb-0440	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0442	OneWeb-0442	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0443	OneWeb-0443	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0444	OneWeb-0444	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0445	OneWeb-0445	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0446	OneWeb-0446	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0448	OneWeb-0448	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0449	OneWeb-0449	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0450	OneWeb-0450	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.75	148	2021-12-26T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Baikonur Cosmodrome	Soyuz-2.1b	
OneWeb-0451	OneWeb-0451	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0452	OneWeb-0452	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0455	OneWeb-0455	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0456	OneWeb-0456	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0457	OneWeb-0457	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0458	OneWeb-0458	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0461	OneWeb-0461	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0463	OneWeb-0463	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0464	OneWeb-0464	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0468	OneWeb-0468	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0473	OneWeb-0473	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0474	OneWeb-0474	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0475	OneWeb-0475	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	590	600	7.178750897343862E-4	87.4	96.4	148	2022-02-09T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Guiana Space Center	Soyuz 2.1b	
OneWeb-0490	OneWeb-0490	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0492	OneWeb-0492	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0495	OneWeb-0495	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0497	OneWeb-0497	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0499	OneWeb-0499	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0500	OneWeb-0500	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0501	OneWeb-0501	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0502	OneWeb-0502	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0503	OneWeb-0503	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0504	OneWeb-0504	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0505	OneWeb-0505	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0506	OneWeb-0506	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0507	OneWeb-0507	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0508	OneWeb-0508	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0509	OneWeb-0509	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0510	OneWeb-0510	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	655	671	0.0011374946679937438	86.9	98	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0511	OneWeb-0511	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0512	OneWeb-0512	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0513	OneWeb-0513	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0514	OneWeb-0514	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0515	OneWeb-0515	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	655	672	0.0012085021681950666	86.9	98	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0516	OneWeb-0516	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0517	OneWeb-0517	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0518	OneWeb-0518	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0519	OneWeb-0519	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0520	OneWeb-0520	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	655	670	0.001066477070742979	86.9	98	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0521	OneWeb-0521	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	656	671	0.0010663254425250586	86.9	97.9	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0522	OneWeb-0522	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0523	OneWeb-0523	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	655	672	0.0012085021681950666	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0524	OneWeb-0524	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	656	672	0.0011373329542223485	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0525	OneWeb-0525	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0526	OneWeb-0526	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0527	OneWeb-0527	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1177	1179	1.3248542660307367E-4	87.9	108.9	148	2022-12-07T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Cape Canaveral	Falcon 9	
OneWeb-0528	OneWeb-0528	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1176	1179	1.9874130506790329E-4	87.9	108.9	148	2022-12-07T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Cape Canaveral	Falcon 9	
OneWeb-0529	OneWeb-0529	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1188	2.6469031233456857E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0531	OneWeb-0531	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	655	672	0.0012085021681950666	86.9	98	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0532	OneWeb-0532	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0533	OneWeb-0533	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0535	OneWeb-0535	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1184	1187	1.985308715505261E-4	87.9	109.1	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0536	OneWeb-0536	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	656	671	0.0010663254425250586	86.9	98	148	2022-10-21T22:00:00Z	5	OneWeb Satellites/Airbus	USA	Satish Dhawan Space Centre	PSLV	
OneWeb-0539	OneWeb-0539	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1176	1179	1.9874130506790329E-4	87.9	108.9	148	2022-12-07T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Cape Canaveral	Falcon 9	
OneWeb-0540	OneWeb-0540	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1176	1179	1.9874130506790329E-4	87.9	108.9	148	2022-12-07T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Cape Canaveral	Falcon 9	
OneWeb-0541	OneWeb-0541	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0542	OneWeb-0542	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1176	1179	1.9874130506790329E-4	87.9	108.9	148	2022-12-07T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Cape Canaveral	Falcon 9	
OneWeb-0543	OneWeb-0543	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0544	OneWeb-0544	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0545	OneWeb-0545	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1176	1179	1.9874130506790329E-4	87.9	108.9	148	2022-12-07T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Cape Canaveral	Falcon 9	
OneWeb-0553	OneWeb-0553	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0554	OneWeb-0554	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0555	OneWeb-0555	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0557	OneWeb-0557	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0558	OneWeb-0558	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0559	OneWeb-0559	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0560	OneWeb-0560	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0564	OneWeb-0564	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	977	982	3.4015919450302743E-4	87.5	104.5	148	2023-03-08T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0565	OneWeb-0565	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0566	OneWeb-0566	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0567	OneWeb-0567	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0568	OneWeb-0568	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0569	OneWeb-0569	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0570	OneWeb-0570	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0571	OneWeb-0571	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0572	OneWeb-0572	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0573	OneWeb-0573	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1200	1202	1.320829480914014E-4	87.9	109.3	148	2023-01-09T23:00:00Z	5	OneWeb Satellites	USA	Cape Canaveral	Falcon 9	
OneWeb-0574	OneWeb-0574	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0575	OneWeb-0575	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0576	OneWeb-0576	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0577	OneWeb-0577	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0578	OneWeb-0578	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0579	OneWeb-0579	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	733	738	3.518401238477236E-4	87.1	99.4	148	2023-03-25T23:00:00Z	5	OneWeb Satellites	USA	Satish Dhawan Space Center	LVM3	
OneWeb-0580	OneWeb-0580	United Kingdom	OneWeb Satellites	Commercial	Communications		LEO	0	1176	1179	1.9874130506790329E-4	87.9	108.9	148	2022-12-07T23:00:00Z	5	OneWeb Satellites/Airbus	USA	Cape Canaveral	Falcon 9	
